Participant_ID,Age,Gender,Brewing_Method,Time_of_Day,Sleep_Hours,Sleep_Quality_Score,Stress_Level,Physical_Activity_Level,Caffeine_mg,Stroop_Reaction_Time_ms,PVT_Reaction_Time_ms,N_Back_Accuracy,Focus_Level
P2025,57,Male,Pour Over,Morning,8.746685198262249,8.172193856358955,4.970792005020557,9.076086995522807,108.72483823752916,569.2590176880527,241.832006015395,0.6282595384934877,0.7578803659147602
P2026,20,Male,Drip,Afternoon,7.676698467460783,8.433236704879711,2.9447838863457565,9.65722768453808,76.65360489303558,623.7293978134018,306.49872408719614,0.6127689721018952,0.6303663051985583
P2027,38,Female,Cold Brew,Morning,5.85146055449036,8.42662755753375,4.22520342466964,3.2597465656640443,151.80867087279623,585.726425733423,231.63615234631249,0.8822989390390548,0.8701678541585024
P2028,25,Male,French Press,Morning,6.87723575835607,6.090819851384219,9.900835778644565,6.198365344779795,139.19705487134422,648.7727011928404,259.2263466984043,0.6469824377743472,0.7310290411054827
P2029,59,Female,French Press,Afternoon,8.24108704562926,6.3102246852985315,6.596693123036592,3.6305804549805702,122.93110874007917,707.337813979386,298.0712521526233,0.7022099358409318,0.8945112241279759
P2030,53,Male,Espresso,Afternoon,7.728447486634043,6.855472093116109,7.421912289447096,5.459362389770473,52.0044286807656,697.0198377612534,301.45304717995344,0.6153066898935132,0.675329448168995
P2031,46,Male,French Press,Morning,5.792785938894037,8.587917010552504,4.819484770960071,10.0,153.58065323313306,625.7899135504223,288.8889693556433,0.7975558341209248,0.8350621509762426
P2032,56,Male,Drip,Evening,7.557356529382864,6.04773179247855,2.387287729388573,4.680221580607011,142.70549390136622,609.5504578679913,198.70780049895956,0.7187787855786443,0.7090607714303903
P2033,51,Female,Pour Over,Evening,6.405203068481941,9.173336663333085,5.711141180730312,8.40299084634044,108.69961577322303,687.9266368363274,336.5977765569183,0.5432235347348069,0.7048864511182409
P2034,39,Male,Cold Brew,Morning,6.836223840746071,3.6803550982727486,4.9804921170819005,4.267457902392488,202.12771233501246,698.0719816525959,264.59017882722566,0.7135434749400265,0.9502063225716482
P2035,48,Female,Espresso,Evening,6.627819571564973,6.283013882727659,9.914254840125075,5.106935635084754,93.45302741463216,712.1745881650078,312.1805774052469,0.7727027800138931,0.6465737008361818
P2036,45,Female,Cold Brew,Afternoon,8.702402316373075,4.437274532795067,4.344475758690088,3.4684542226587327,332.4617938896411,525.5445666923115,180.0,0.98,1.0
P2037,52,Female,Drip,Evening,6.1300830660497425,7.70300912918741,6.024407191556648,2.6610596679365717,104.57601558324707,757.020261729427,264.84539522387774,0.7812441672730601,0.6649059670225508
P2038,51,Male,Drip,Morning,7.392230894669132,4.80324282026944,6.121828181899017,6.2921384460505845,166.36380392786538,665.7953933944545,201.70421952420406,0.7920687223838543,0.9198579147242811
P2039,30,Male,Cold Brew,Morning,5.085336483592866,8.062377048061485,7.0231145433841675,4.947892937537351,152.18162368857617,719.0098103624124,347.6611665036763,0.7028143113828488,0.756673180787059
P2040,58,Female,Pour Over,Morning,4.502629995596619,7.674033887972997,5.17684697202095,5.273081994332127,83.97469025713433,642.5202602142117,342.1150876307649,0.6707313549684313,0.72826577732607
P2041,21,Male,Espresso,Morning,8.966420526635924,4.891261859677587,4.832272424598942,5.011621446046056,84.76347659634423,720.990118104866,229.29176376772858,0.6477556880882899,0.5527400760663168
P2042,60,Female,Espresso,Morning,7.710990269684828,7.49599246273632,2.833919488113283,6.792320854462595,70.70332869933203,633.1653950985881,242.913716502696,0.6445295761458488,0.5718844295745719
P2043,23,Male,Pour Over,Morning,7.448532908478918,7.184568931140076,1.8314198752025752,3.4419572483290253,124.48532928580875,455.21715060264876,233.18126445919316,0.8012870784662831,0.5993795521947112
P2044,18,Male,Pour Over,Afternoon,7.7655841121076055,6.550285984826211,9.930270833155332,9.09992437870098,115.6345631457364,688.5196381082328,260.9316147958082,0.7484668690765789,0.6085043288642623
P2045,29,Female,Pour Over,Afternoon,7.473485822084947,8.172307446773729,8.552214736935774,6.227861685268191,116.68465400277313,669.3905783979751,244.69067136365751,0.6727119890977162,0.6479821411813788
P2046,52,Male,Drip,Afternoon,5.857662809768699,7.321949115992982,4.4983615083732875,5.995235722332326,103.49597205730697,771.3351386193686,247.76830241697735,0.6063409423912375,0.6376446695171104
P2047,28,Female,Drip,Afternoon,7.289490800024783,3.956045608325869,5.146456600366578,9.864167613726472,183.68546274305115,688.9015106437611,276.6798877839954,0.7568844221692976,0.8627508793495524
P2048,40,Male,Drip,Evening,5.842376603978425,7.842199737287578,4.916632240728665,7.103423224956945,184.15949677841036,535.7282226109864,292.8663545612761,0.8425550006065573,0.7312552892970843
P2049,31,Male,Drip,Morning,7.4552835237493476,5.241224341323982,9.704682267242232,8.844546658099116,195.86440382643758,659.0091590448737,277.9268421798692,0.8107992993871246,0.8872969689657505
P2050,36,Male,Drip,Evening,5.143826143519041,5.741339061858673,7.115562470353626,7.39640705371289,132.311771249387,622.0505881397382,314.62065671226077,0.7557805278848371,0.5681352941688391
P2051,54,Male,French Press,Evening,7.172539414045654,5.0738124716317206,9.50903524330708,9.302077107303461,196.9946160639934,707.6629348480787,232.4981662634906,0.846108904926669,0.971837947239279
P2052,33,Male,Pour Over,Morning,4.851549788031195,6.199230607368723,4.6324518397027745,3.539670475160725,96.64389486402686,849.4069637474854,321.57898246857224,0.6577124047404149,0.5648357922747635
P2053,61,Female,Pour Over,Morning,8.206292681621935,5.446541131631378,8.662404066327225,8.488383043057832,150.8606450252162,671.707856708827,245.2915938467471,0.6804755649178693,0.8307548728888042
P2054,45,Male,Pour Over,Afternoon,7.134907800954796,8.188469557275157,1.9633152120831663,7.094927995006537,88.50107824926685,684.1261627763264,226.19413039492844,0.743242281362492,0.5233093028017333
P2055,62,Male,Pour Over,Afternoon,6.17945508716215,5.36015634027791,2.0282544964682026,5.752558456965572,86.70731833494753,751.3460381100728,286.58402691405564,0.7037698567508733,0.6935400199465859
P2056,48,Female,Drip,Evening,7.67461993137099,4.3843949298998215,4.458542150201008,2.62247852117073,212.97906872676575,605.1940487843882,252.11663854582818,0.9039896618358698,0.8063929649453069
P2057,24,Female,French Press,Afternoon,7.948819118380194,8.374165477632937,4.356710049943947,6.607606460759738,122.61454935305532,609.5595627450982,202.30770081518716,0.6870333018661637,0.7033727786368177
P2058,63,Male,Cold Brew,Afternoon,7.715357515834983,7.946429271576611,5.988441909470134,2.242133838717332,183.9078617228738,674.3839507017229,233.2939453925711,0.8166851850913002,0.8308188800232912
P2059,44,Female,Cold Brew,Evening,5.679712600725763,4.993341201440859,4.874049646325111,6.418491468632544,168.02161490236915,564.525593634468,276.99896454721835,0.8270314233173521,0.865337721265597
P2060,34,Male,Cold Brew,Evening,6.758170055121661,4.949237902655748,6.103736764475826,7.266462318297657,222.70373683293317,591.9760980286064,211.61130266292173,0.8487932919667585,0.9694561824336416
P2061,24,Male,Espresso,Evening,6.184423648226525,4.554459124903746,2.748495684330194,7.521341418208568,98.11443088391282,512.1137927560287,296.61731248432943,0.6304215180286242,0.5850870836527982
P2062,32,Female,French Press,Morning,7.869822336029479,5.134727821315776,4.3995914518999575,2.9739989037462355,136.00474529021844,720.9985471604623,214.96162826448142,0.7986766005561338,0.6291422692723233
P2063,57,Female,Espresso,Afternoon,6.033700488366017,8.288790230620497,7.966107358275735,3.129637300910027,78.48474480784239,645.8186041364032,277.5030934504348,0.4714546326529784,0.7361973803102656
P2064,29,Female,Espresso,Evening,6.602718484449591,8.636033012601555,3.8291903088350816,3.5344696188592923,76.96575493100282,652.469567660491,263.50376584881906,0.6650966712078892,0.5475499859211396
P2065,25,Male,Pour Over,Morning,8.79033716067215,5.257296912334557,7.646358469041923,5.928313027359351,148.4485709228176,748.0777125190247,242.7688599074868,0.6743847847126493,0.9104136954004591
P2066,19,Male,Pour Over,Morning,5.674909655608371,6.971954995783691,6.702680243805154,9.110753009330681,144.02304941677622,732.2806775899046,336.15171411464854,0.7555961326642284,0.7720067439370311
P2067,61,Male,Drip,Afternoon,6.633611511939466,5.04044076006762,6.812397633544995,6.240098625515364,108.63962479456096,770.6123713491284,287.4391491338991,0.6593694323636613,0.6629827225368969
P2068,55,Female,Drip,Afternoon,7.706496428495168,7.741310870464915,2.269908053744798,7.323289484539014,221.2869331313467,487.838832401033,180.0,0.8521215732499593,1.0
P2069,43,Male,Espresso,Afternoon,5.411422622765663,5.559220171592878,5.003292528805458,7.028605956821871,69.80611437044202,764.4487594069001,279.0413444340835,0.6190992163299669,0.6824372229349402
P2070,38,Female,Espresso,Morning,9.5,6.914798007437623,5.189105333132302,3.3243942845132874,120.17717571946167,687.5791196742964,243.10215634984618,0.6647783637868913,0.6755721154193559
P2071,30,Female,Pour Over,Morning,5.0967308068277175,5.39731423099354,3.351422360631546,7.983851605617142,37.23912361708615,612.2205954224994,290.3942618160361,0.6504949054421866,0.6209161372348778
P2072,36,Male,French Press,Morning,6.21309807284494,7.665787975833045,3.5013477855075856,6.6453916711271255,182.2578379067665,569.235361793438,230.39122631893957,0.7720306529937588,0.7586635018965713
P2073,35,Male,Drip,Afternoon,7.135391564632123,8.186976322923236,3.8385470154332175,8.244148558228618,216.80918518816628,590.9271091591008,227.40146309299882,0.9279584110068966,0.7303760911452952
P2074,19,Female,Espresso,Afternoon,8.054663442216865,7.23469156334889,6.814428218442712,4.096546169737811,87.90271643599115,642.248567213391,264.9554969588619,0.7073925421828504,0.6688006940366141
P2075,62,Female,Drip,Afternoon,6.135387828359132,4.245555084212885,3.9019177410026966,2.7797590993362777,127.81588531564863,620.903311541472,273.3146515718901,0.6745949833728192,0.7782707878854633
P2076,59,Male,Drip,Morning,5.069379934473296,7.217000038825729,4.197291220204411,4.738310281431846,251.67325733108248,541.4922369861679,232.76251688575218,0.9274736769893077,1.0
P2077,45,Male,Espresso,Morning,6.788124213509886,6.56544229571167,8.841912566580943,5.84203158257155,72.76605704861826,698.1558860401775,285.20310499876314,0.5059793212039955,0.5948565211828416
P2078,40,Female,Espresso,Morning,8.885291103260242,7.944773140472046,10.0,5.245898496112666,73.42496839203835,731.303068264723,355.84178386484734,0.594726168340715,0.6405023656665063
P2079,21,Male,Espresso,Afternoon,4.653239395117926,5.0785945303019595,8.184286029432975,7.976713970982904,106.2984212341897,725.3311508793588,370.8667307476559,0.7127797832455717,0.7037855299758022
P2080,21,Female,French Press,Afternoon,7.037047080538568,2.7166296225655078,5.054464706708127,3.181413209897061,121.91179956458816,613.8838497948842,309.1249389847736,0.7741755642031903,0.7105201761724381
P2081,29,Male,Espresso,Afternoon,8.933801665445987,5.535786784700091,8.307016197193933,4.720415106125541,95.21918772226483,614.6198149319644,215.03778323953162,0.6160080197620502,0.7271841067886431
P2082,39,Male,Espresso,Afternoon,5.628760831484373,6.560136270495152,1.9218970551401475,2.2401932118930903,89.5903151201479,487.96801651549526,323.3663762269245,0.742501679708962,0.7041506081593495
P2083,43,Male,Cold Brew,Morning,7.1170901341564425,2.4741241640438334,6.481439736848488,5.562851337444047,82.41952688513865,646.593019852119,321.3857783041568,0.804099272597665,0.6229582512575486
P2084,57,Male,Espresso,Morning,5.390236570026269,8.205587631296016,7.636581629219771,3.650540285641398,118.36802383003358,625.7888288464634,294.88668405994247,0.8064092405396275,0.788305555683517
P2085,59,Female,Pour Over,Morning,7.292764279406031,4.464060666926265,7.933001245689165,4.88291127679574,113.89893559536881,702.2229239217842,290.75667023518366,0.6466329399669623,0.7821946243093871
P2086,52,Male,French Press,Morning,6.653031495224294,6.413287895839847,4.390205009334887,6.024491485131037,151.02889750079814,652.1284427738905,314.1087449030621,0.6219980560913451,0.9319194662821766
P2087,21,Female,Drip,Afternoon,3.5,5.749937303156146,5.960877136949952,4.375529252600004,157.73451186830226,673.9832595044111,280.7435877945865,0.8904675201761577,0.7710677765118339
P2088,29,Male,French Press,Morning,8.212329892986917,5.761927576896114,10.0,6.618947280727606,218.1119767464116,802.425558641536,284.7656419240913,0.7964850351977301,0.982697769796695
P2089,21,Female,Espresso,Morning,7.655857929935472,2.741486196874362,4.248425424201412,6.314167949492172,80.49316942425742,644.0786350244109,227.98744179442832,0.6932124731618335,0.638674537606891
P2090,48,Male,Drip,Morning,7.397576282902432,6.3971918286448295,9.957390715881946,4.59837502335535,124.2909238198924,793.590534708606,269.41408696053117,0.7610899999279715,0.7297309382810651
P2091,24,Male,Cold Brew,Morning,8.912483481860427,3.892713684949922,6.48436659965567,5.414407071651621,212.93468388490044,839.8317679451328,226.66064417263323,0.7144978955485732,0.950897185591299
P2092,27,Male,Drip,Morning,8.197558317963866,4.409276168136841,6.682675857262694,6.49040120109897,171.43587649509715,727.2979580257538,333.209233915082,0.6753122653272763,0.7943295535102521
P2093,41,Female,Espresso,Evening,6.820728024427831,7.004255561018045,4.0194990632435,4.437525290793607,70.5926795097738,655.9062321234981,280.72049807444216,0.7350185028810914,0.5557950520031498
P2094,32,Male,Cold Brew,Evening,7.158447303035189,7.078480095820275,5.092988948388978,8.424697193374897,216.34182530690745,484.64949612930343,227.29846075934137,0.8157463646754382,0.8388098880899069
P2095,56,Male,French Press,Morning,6.450088906069871,4.382567100218769,3.334732670254008,1.8263431201789246,177.75909178999964,658.0283772705614,202.25312897831296,0.7906260687740407,0.843962023808456
P2096,37,Male,French Press,Morning,5.360210615884219,5.682796918321442,2.128471796221953,5.3486744746658665,217.059391575327,586.147239086101,245.97317878080622,0.7682001017841968,0.8671594161503534
P2097,24,Male,Drip,Afternoon,7.039778946003595,9.057112617824004,4.6209066372562715,8.167415304572723,189.50519842036167,542.2988218893857,297.26586389338087,0.8416784309030434,0.8475854570205574
P2098,30,Female,Espresso,Morning,5.757752639378189,2.8743531024230595,4.474101428975078,8.06737712190867,73.99401771520417,759.544643642413,345.081141686385,0.5504460246022896,0.6118852879251792
P2099,45,Male,Pour Over,Evening,7.614547887847397,4.443985549418191,4.268355530792199,6.367239161435452,153.08829572641116,666.6242858418909,222.09815739168346,0.6540169935648661,0.7620481898728493
P2100,56,Female,Cold Brew,Afternoon,6.007496743744152,3.938678759725796,4.173521355675372,3.1939222823404654,164.75348747107898,652.7089510274083,257.22388558276754,0.7588808840751756,0.8285676395751567
P2101,35,Female,French Press,Morning,6.218136270246322,8.367694773578586,6.4134916692905355,8.874945348738109,115.17713849346966,611.0876804733958,282.88465950001995,0.5740474258120416,0.682637483109617
P2102,64,Female,Pour Over,Morning,7.154077320158543,4.928231826059406,7.968820432783728,5.990922589530755,149.6255743298214,749.2614400945735,330.16588346035206,0.8170818238880675,0.7962599176510698
P2103,28,Female,Pour Over,Morning,9.5,4.952588080674941,4.583585712195381,7.2164700892899445,87.01732124853908,656.0106166591642,236.85818912497578,0.6357188561930813,0.5388374755904148
P2104,53,Female,Cold Brew,Morning,7.897833592252326,7.201973304354235,5.917504975441547,2.969392715544999,107.3326060987338,715.6483247206125,267.2801161559799,0.5817685589801903,0.6613095276056751
P2105,53,Female,Drip,Morning,5.04512140235129,3.2893230785059666,6.167878819458389,1.6981088604209944,189.72045750342375,621.1066925114496,242.44907708595238,0.98,1.0
P2106,19,Female,Drip,Afternoon,3.5,9.177961617794875,6.117557315667972,3.6651939511297122,169.86234380574817,562.0756504274111,242.14574108046838,0.7388851476781155,0.9006799270231597
P2107,63,Female,Drip,Morning,5.88982870538567,7.75356432062219,8.169278719652135,8.338886647673139,164.7401063720427,737.5400170340329,297.8386763874286,0.6717691835774574,0.9296911737409351
P2108,34,Female,Espresso,Morning,7.941928054292932,6.39638391416638,7.0748060688561,7.898888946526348,89.43040729818337,717.6976775594321,278.53152582644316,0.6181614534615891,0.6179157374968224
P2109,23,Female,Drip,Evening,5.793103104551623,5.702435652557405,5.774512016984766,4.161646550916088,95.74515675262617,598.3166557129454,322.4154022132694,0.7119486314641993,0.6736169348249003
P2110,58,Female,Espresso,Morning,6.8012703868521145,7.546929074867142,3.8625963647860084,7.18357411528458,112.14061567667486,610.6450424315519,265.5568865876272,0.7169206417339429,0.9221914772131949
P2111,63,Male,Pour Over,Morning,7.176189767675964,6.5422943328576855,5.36476831135754,3.1757847568110926,136.60818450756605,627.209655773683,267.5425278781847,0.7057714652613135,0.8572646362697369
P2112,40,Male,Drip,Afternoon,8.496593112451052,6.445784955133551,7.102762136398008,4.699242091512026,94.59517980202122,650.169925861099,215.65460551814465,0.7145427505246528,0.6672944664255541
P2113,64,Female,Espresso,Morning,8.051855836711445,7.325992782955712,3.4392131958079406,8.182155398446987,76.29175553660332,625.9528391914905,239.12184646484695,0.6226840206667293,0.5669657711712811
P2114,33,Male,Espresso,Morning,4.849331914479353,5.809951128323769,8.645200152740133,5.484487451246928,74.84837210000867,713.1766459214208,310.23506395543694,0.6545803472210099,0.7716613283990296
P2115,58,Male,Pour Over,Afternoon,6.192313180287736,5.18365279189055,4.688703773564287,4.799189537520601,148.33777077231682,580.787563319446,231.14015046481762,0.8464449069599577,0.7511594337213223
P2116,43,Male,Pour Over,Afternoon,7.582476228399982,8.495307515277199,3.3740959758685496,4.4142949331883905,84.1340126436803,577.9137704233293,312.3319699497715,0.6931397320168766,0.6901145184296219
P2117,63,Male,Cold Brew,Evening,4.863654064263524,5.411109596185288,5.918669483123918,9.967457163445541,124.10066085365497,731.3056445766114,321.0848148199682,0.7353562299380617,0.8252752653150082
P2118,18,Male,Espresso,Afternoon,5.923849765341553,4.9070774364724,6.5341680353095715,5.900442775820385,98.03486473067991,736.5445735360342,313.8538478505133,0.6148400896504802,0.557290174338468
P2119,53,Male,Drip,Afternoon,9.5,6.548981000736939,6.000168508178112,7.571561427023766,156.68427555277486,611.3718579020314,212.30684502680776,0.9012926131522726,0.9251867679625616
P2120,47,Male,Drip,Morning,7.31989489173787,10.0,7.8955727095052,5.895834526295866,159.22046792104595,558.6596451147918,244.10260383985855,0.8607357881623746,0.8615689228577843
P2121,19,Female,Pour Over,Afternoon,4.7440124521812255,6.682748072099131,5.771661819785897,6.075790308556351,89.64871972839131,659.2797673121687,325.9155681017094,0.5672472899723187,0.6176727058860049
P2122,37,Male,Espresso,Morning,5.697059529380706,6.575014573083005,4.891684372080015,6.864984134406429,109.95564307518796,603.6283723526634,254.3675188729365,0.6476833395657453,0.5972973066466034
P2123,22,Male,Drip,Afternoon,7.45832116702269,7.12416840477427,5.743395291563387,8.242877596370638,83.80991669573388,679.3311327480761,240.13909450799244,0.6862848098639448,0.7130475415994577
P2124,48,Male,Pour Over,Morning,6.608290843650709,8.509520841028449,2.586912071427995,10.0,135.78265988667408,515.2719200944307,285.24670892959284,0.7214150126176625,0.756992216350958
P2125,25,Female,Espresso,Morning,6.69508837174046,8.008715911649283,5.929103942313921,6.175824448636102,74.93726309005628,653.4137037945457,271.47920614128327,0.6455873059302379,0.6951986981408143
P2126,47,Female,French Press,Morning,7.718089958680967,7.60422478325056,4.281754360329082,6.34796759722626,103.30361126460447,675.5417005208612,234.64791586914876,0.8025576614412266,0.5767607336339571
P2127,56,Female,Pour Over,Morning,7.117906750272043,5.161903454872756,5.4176354526196375,8.575846930834558,142.88775657049933,670.7749288391435,262.00088789003394,0.6173145844660233,0.6560298759207711
P2128,19,Female,Espresso,Evening,6.193613207138206,7.148927379266631,6.479548853774048,5.317817721638041,54.4468749537983,624.4573833300728,354.76607431039633,0.603040928892873,0.5501053801057192
P2129,30,Male,Espresso,Afternoon,6.619490301863378,5.152774066868762,8.67142237072726,6.842783373990726,82.90291106939715,691.7750220286192,327.64984350313046,0.6133414379082978,0.5666162134327184
P2130,21,Female,French Press,Afternoon,7.082970139062796,3.743356897694181,3.1260231761527644,3.4720817626530662,188.87151645191358,640.5047393275247,220.4577131229787,0.7584554792283815,1.0
P2131,62,Male,Pour Over,Afternoon,6.117729419794559,5.384140499251163,9.08646575823993,1.0,98.69696822583198,693.3394794208535,308.9432248461258,0.658345435005164,0.6895620470876707
P2132,25,Male,Cold Brew,Morning,7.411735899319645,5.8416989558057155,5.160575285997982,8.333116220973771,223.75772534200013,709.8457563439063,243.59813298000628,0.9477350873181856,1.0
P2133,56,Male,Drip,Morning,8.657579369615059,7.23553868392084,4.073329674911217,7.259667599487153,180.49273352079547,623.6076640692634,211.40764957867793,0.9299243378273715,0.916065025310584
P2134,42,Male,Drip,Morning,6.9538264132596215,7.47226508159529,8.11439976440108,7.823978018778506,138.290708191462,631.4079606515083,276.6047357777122,0.8184298243308684,0.7260308977057037
P2135,24,Female,Espresso,Morning,7.469405821391297,7.54114524632247,10.0,6.505178011586743,75.45625903491229,684.3067885898361,276.9960256509774,0.5569795600168754,0.6187011733074061
P2136,31,Male,Drip,Morning,4.692969294844875,3.892279269671091,4.140980570934919,5.226694118195768,167.14862864328472,574.2541140701487,333.2697522063296,0.7335107404458147,0.7196459171833991
P2137,46,Male,Espresso,Afternoon,8.022302352264186,4.591512125286801,8.328080041981483,6.263374885160892,102.10830764779554,811.2496904450337,261.2167933290741,0.6961515567859032,0.7979962483311617
P2138,62,Female,Drip,Afternoon,7.1040684457162975,6.284457550176618,6.021908433024386,7.6898999447322325,142.5451028169886,701.5244233334499,259.2198190800121,0.8474736237962935,0.6097898889068991
P2139,38,Male,Pour Over,Afternoon,5.87562051151811,6.090987215747015,6.5035960412046165,5.854106162037569,140.40143248376884,631.00135591235,281.45312292571225,0.6392307818133288,0.9201872330491575
P2140,54,Male,Pour Over,Afternoon,3.6283609630245985,4.791359918856315,4.195185538773669,6.6479097067245965,127.8370841153358,745.9451032755535,338.2856626939592,0.7892262871412065,0.920435363449675
P2141,50,Male,French Press,Afternoon,7.324214906007761,6.766560016401845,5.838019356957452,3.7185225417584244,223.50233662068896,591.292754073622,274.4793749880522,0.7308084487358657,0.6446275805459423
P2142,58,Female,Espresso,Morning,7.4059174080282375,8.05793906375067,8.386426606961225,6.580626136447428,114.23276745223511,627.2852570732063,256.2900546571013,0.6833715168707702,0.6079060045144751
P2143,42,Female,Drip,Evening,6.506598027072596,4.71134588033897,6.293094079616353,6.266024919675927,144.09124728977324,644.8332941623123,266.03586841771795,0.7425234667586178,0.74656216559667
P2144,63,Male,Cold Brew,Evening,4.899113535223089,6.353374595997164,7.924924013490152,5.8431799816893015,155.5097281018674,643.8725681958804,280.1326528563932,0.8326602157383282,0.768340379014918
P2145,31,Female,Drip,Evening,6.283397495321013,7.73852776735782,4.5688423931296755,10.0,104.63709716219853,512.4487929584461,287.3543084105792,0.7462141925715939,0.7184276690009394
P2146,26,Female,French Press,Morning,5.683078790245872,6.046543153549141,6.469965975373315,1.4686861107470408,315.40821592464016,709.5174376597242,296.97610506023375,0.7965752938600817,0.8670945991691403
P2147,32,Male,Espresso,Morning,7.002382729373228,7.01611806474838,6.7816543795782245,4.928871553063618,87.34910695971496,690.9034363784392,276.4990309107317,0.7152154637555606,0.6030013797705989
P2148,24,Female,Drip,Afternoon,7.145640894163151,9.285951007142856,4.114397746451219,2.893566804357766,187.6611818654637,533.5013551917374,267.18472195136474,0.8755244226740744,0.9144891927610879
